"Yard.Code","area","shrub","tree","mean_dbh","n_fruiting_plants","proportion_fruit","n_native_plants","proportion_native","season","richness","year","area_scale","shrub_scale","tree_scale","mean_dbh_scale","n_fruiting_plants_scale","proportion_fruit_scale","n_native_plants_scale","proportion_native_scale","richness_scale"
"Y26",3400000,0,4,17,0,0,0,0,"migration",2,"2025",1.38511438306929,-0.930107560008776,-0.0435402716052616,-0.252119191409693,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y26",3400000,0,4,17,0,0,0,0,"breeding",5,"2024",1.38511438306929,-0.930107560008776,-0.0435402716052616,-0.252119191409693,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.680231532180636
"Y26",3400000,0,4,17,0,0,0,0,"breeding",3,"2025",1.38511438306929,-0.930107560008776,-0.0435402716052616,-0.252119191409693,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.00407324270766847
"Y27",1200000,0,1,106,0,0,0,0,"migration",1,"2024",-1.60772205177685,-0.930107560008776,-0.761954753092078,4.18820957624617,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y27",1200000,0,1,106,0,0,0,0,"migration",3,"2025",-1.60772205177685,-0.930107560008776,-0.761954753092078,4.18820957624617,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.00407324270766847
"Y27",1200000,0,1,106,0,0,0,0,"breeding",4,"2024",-1.60772205177685,-0.930107560008776,-0.761954753092078,4.18820957624617,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.338079144736484
"Y27",1200000,0,1,106,0,0,0,0,"breeding",0,"2025",-1.60772205177685,-0.930107560008776,-0.761954753092078,4.18820957624617,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-1.03053040504013
"Y33",2500000,4,3,15.5731292517007,0,0,0,0,"migration",4,"2024",0.160772205177686,-0.111612907201053,-0.2830117654342,-0.323307677155761,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,0.338079144736484
"Y33",2500000,4,3,15.5731292517007,0,0,0,0,"migration",2,"2025",0.160772205177686,-0.111612907201053,-0.2830117654342,-0.323307677155761,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-0.346225630151821
"Y33",2500000,4,3,15.5731292517007,0,0,0,0,"breeding",6,"2024",0.160772205177686,-0.111612907201053,-0.2830117654342,-0.323307677155761,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,1.02238391962479
"Y33",2500000,4,3,15.5731292517007,0,0,0,0,"breeding",0,"2025",0.160772205177686,-0.111612907201053,-0.2830117654342,-0.323307677155761,-0.570194726058898,-0.362645060313474,-0.69478774657225,-0.678394128529843,-1.03053040504013
"Y04",2100000,1,19,25.45,0,0,1,0.05,"migration",0,"2024",-0.38337987388525,-0.725483896806845,3.54853213582882,0.169462584845274,-0.570194726058898,-0.362645060313474,-0.12866439751338,-0.449488134240632,-1.03053040504013
"Y04",2100000,1,19,25.45,0,0,1,0.05,"migration",5,"2025",-0.38337987388525,-0.725483896806845,3.54853213582882,0.169462584845274,-0.570194726058898,-0.362645060313474,-0.12866439751338,-0.449488134240632,0.680231532180636
"Y04",2100000,1,19,25.45,0,0,1,0.05,"breeding",2,"2024",-0.38337987388525,-0.725483896806845,3.54853213582882,0.169462584845274,-0.570194726058898,-0.362645060313474,-0.12866439751338,-0.449488134240632,-0.346225630151821
"Y04",2100000,1,19,25.45,0,0,1,0.05,"breeding",0,"2025",-0.38337987388525,-0.725483896806845,3.54853213582882,0.169462584845274,-0.570194726058898,-0.362645060313474,-0.12866439751338,-0.449488134240632,-1.03053040504013
"Y24",2500000,5,7,16.25,2,0.166666666666667,0,0,"migration",1,"2024",0.160772205177686,0.0930107560008775,0.674874209881555,-0.289537692260726,3.01388640916846,0.419530559970491,-0.69478774657225,-0.678394128529843,-0.688378017595973
"Y24",2500000,5,7,16.25,2,0.166666666666667,0,0,"migration",3,"2025",0.160772205177686,0.0930107560008775,0.674874209881555,-0.289537692260726,3.01388640916846,0.419530559970491,-0.69478774657225,-0.678394128529843,-0.00407324270766847
