"","Date","Time","Tag.ID","Species","Lat","Lon","Signal","Receiver","timestamp.EDT","timestamp","ID"
"179",2022-10-10,"07:28","6","SOSP",45.43135,-73.93998,"215","New",2022-10-10 07:28:00,2022-10-10 11:28:00,"SOSP6"
"180",2022-10-10,"07:35","143","HETH",45.43127,-73.94005,"204","New",2022-10-10 07:35:00,2022-10-10 11:35:00,"HETH143"
"181",2022-10-10,"07:45","19","SOSP",45.43149,-73.9398,"204","New",2022-10-10 07:45:00,2022-10-10 11:45:00,"SOSP19"
"182",2022-10-10,"07:50","144","HETH",45.43179,-73.93998,"217","New",2022-10-10 07:50:00,2022-10-10 11:50:00,"HETH144"
"183",2022-10-10,"08:03","138","HETH",45.43015,-73.9382,"216","New",2022-10-10 08:03:00,2022-10-10 12:03:00,"HETH138"
"184",2022-10-10,"08:33","188","MYWA",45.42966,-73.93822,"244","New",2022-10-10 08:33:00,2022-10-10 12:33:00,"MYWA188"
"185",2022-10-10,"09:24","18","SOSP",45.42902,-73.93703,"239","New",2022-10-10 09:24:00,2022-10-10 13:24:00,"SOSP18"
"186",2022-10-10,"09:33","135","HETH",45.42895,-73.93865,"211","New",2022-10-10 09:33:00,2022-10-10 13:33:00,"HETH135"
"187",2022-10-10,"09:53","136","HETH",45.43173,-73.93974,"216","New",2022-10-10 09:53:00,2022-10-10 13:53:00,"HETH136"
"188",2022-10-11,"07:36","134","HETH",45.43179,-73.93972,"211","New",2022-10-11 07:36:00,2022-10-11 11:36:00,"HETH134"
"189",2022-10-11,"07:40","144","HETH",45.4318,-73.94008,"242","New",2022-10-11 07:40:00,2022-10-11 11:40:00,"HETH144"
"190",2022-10-11,"07:45","6","SOSP",45.43167,-73.94002,"220","New",2022-10-11 07:45:00,2022-10-11 11:45:00,"SOSP6"
"191",2022-10-11,"07:52","19","SOSP",45.43135,-73.9398,"216","New",2022-10-11 07:52:00,2022-10-11 11:52:00,"SOSP19"
"192",2022-10-11,"08:08","188","MYWA",45.43034,-73.93935,"233","New",2022-10-11 08:08:00,2022-10-11 12:08:00,"MYWA188"
"193",2022-10-11,"08:38","138","HETH",45.43008,-73.93829,"250","New",2022-10-11 08:38:00,2022-10-11 12:38:00,"HETH138"
